SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
11,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmcontrol_haltreq,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
12,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.dmcontrol_resumereq,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
13,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.data_0_reg[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
14,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.abs_cmd_transfer_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
15,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_csr_valid,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
16,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_csr_wr_en,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
17,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_gpr_valid,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
18,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_gpr_wr_en,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
19,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_state[5:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
20,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.abstractcs_busy,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
21,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_csr_rd_en,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
22,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_gpr_rd_en,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
23,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_gpr_addr[4:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
24,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_csr_addr[11:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
25,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.data_csr_reg[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
26,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.data_gpr_reg[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
27,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.debug_op_wr_data[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
28,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.abstractcs_cmderr[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
29,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.command_reg_state[5:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
30,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.cmderr_ff[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
31,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_readonaddr_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
32,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_readondata_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
33,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_autoincrement_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
34,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_access_ff[2:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
35,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_busyerror_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
36,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbaddr_ff[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
37,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.prescale_counter[3:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
38,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.timeout,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
39,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_state[3:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
40,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_rd_req_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
41,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_wr_req_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
42,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbdata_ff[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
43,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.counter[7:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
44,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_busy_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
45,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_req_valid_int,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
46,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_resp_ready_int,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
47,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sba_req_wr_data_int[31:0],CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
48,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.miv_rv32_opsrv_debug_du_0.miv_rv32_opsrv_debug_sba_0.sbcs_uar_err_ff,CCC_C0_0/CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z14|iUDRCK_inferred_clock,MIV_RV32_C1_0.MIV_RV32_C1_0.u_opsrv_0.gen_opsrv_debug\.u_opsrv_debug_unit_0.debug_req_fifo.fifoMem[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
