
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_0s_2s_4s_0s_1, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_25s_0s, 0, 1, 0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_4s_8s_8s_3s_1s_4s_2s_1s_3s, 10, 20, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_4s_3s_1s_2s_4s_0s_0, 10, 20, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_4s_2s_8s_0s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_upsizing_16s_36s_72s_2s_15s_11s_16s_4s_11s_15s, 17, 118, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_11s_4s_16s_0s, 17, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_36s_0s, 0, 0, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_36s_0s_0, 0, 0, 0, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcAChannel_64s_32s_1s_1s, 39, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_DWC_UpConv_preCalcAChannel_64s_32s_1s_1s_0, 35, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Hold_Reg_Ctrl_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_1s_32s_64s_0s_1s, 424, 225, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_4s_0_1_3_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_64s_0_1_3_0, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_64s_0_1_3_2, 72, 39, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_69s_0_1_3_2, 134, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_75s_0_1_3_2, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	. caxi4interconnect_ResetSycnc_1, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. caxi4interconnect_SlaveConvertor_Z12, 678, 526, 0, 0, 0, 0, 24, 0, 0
.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_2s_32s_64s_0s_1s, 424, 225, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_5s_0_1_3_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_65s_0_1_3_0, 68, 37, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_65s_0_1_3_2, 72, 39, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_70s_0_1_3_2, 134, 70, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegSliceFull_76s_0_1_3_2, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc_0, 2, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_SlvClockDomainCrossing_Z11, 220, 219, 0, 0, 0, 0, 23, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_8s_5s_0s_3s, 44, 44, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_3_4, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_20, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_7, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_23, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_3_4, 6, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_7, 6, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_3s_2, 6, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_3s_1_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_3s_1_0, 1, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_8s_65s_0s_3s_1, 44, 44, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_3, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_3, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s, 6, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_3, 6, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_3s_1, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_3s, 1, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_3s, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_8s_3s_65s_0s, 0, 0, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_8s_65s_0s_3s_1_0, 44, 44, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_3_2, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_13, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_5, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_10, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_3_2, 6, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_5, 6, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_3s_1_3, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_3s_2, 1, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_3s_2, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_8s_3s_65s_0s_0, 0, 0, 0, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_8s_70s_0s_3s, 44, 43, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_3_3, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_15, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_6, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_18, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_3_3, 6, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_6, 6, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_3s, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_3s_1, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_3s_1, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_8s_3s_70s_0s, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	. caxi4interconnect_CDC_FIFO_8s_74s_0s_3s, 44, 44, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_3_1, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_8, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_1s_0s_3s_4, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_Bin2Gray_3s_5, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_3_1, 6, 8, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_2s_1s_3s_4, 6, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_grayCodeCounter_3s_3s_3s_1_1, 6, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_rdCtrl_3s_0, 1, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_CDC_wrCtrl_3s_0, 1, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_8s_3s_74s_0s, 0, 0, 0, 0, 0, 0, 7, 0, 0
.	.	.	.	. caxi4interconnect_SlvProtocolConverter_Z10, 32, 82, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_2s_4s_0_0, 16, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FIFO_16s_2s_2s_15s_0s_16s_4s_0s_15s_1_0, 16, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_0s_4s_16s_0s_1_0, 16, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_2s_4s_0_1, 16, 42, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. caxi4interconnect_FIFO_16s_2s_2s_15s_0s_16s_4s_0s_15s_1, 16, 40, 0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_16s_15s_0s_4s_16s_0s_1, 16, 40, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_16s_4s_2s_0s, 0, 0, 0, 0, 0, 0, 1, 0, 0
.	. CCC_C0, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. CCC_C0_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. COREJTAGDEBUG_0, 17, 107, 0, 0, 0, 0, 0, 2, 0
.	.	. COREJTAGDEBUG_Z14, 17, 107, 0, 0, 0, 0, 0, 2, 0
.	.	.	. COREJTAGDEBUG_UJ_JTAG_26s_0s_34s_85_0_0, 17, 104, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. corejtagdebug_bufd_34s_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. corejtagdebug_bufd_34s_2, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. CoreGPIO_0, 4, 3, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreGPIO_0_CoreGPIO_0_0_CoreGPIO_Z13, 4, 3, 0, 0, 0, 0, 0, 0, 0
.	. DDR3_0, 2221, 3081, 891, 0, 0, 0, 14, 7, 43
.	.	. DDR3_0_CCC_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 3, 0
.	.	. DDR3_0_DDRCTRL_0_CoreDDRMemCtrlr_Z69, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. DDR3_0_DDRPHY_BLK, 2221, 3081, 891, 0, 0, 0, 14, 4, 43
.	.	.	. COREDDR_TIP_Z74, 2221, 3081, 891, 0, 0, 0, 14, 1, 0
.	.	.	.	. COREDDR_TIP_INT_Z73, 2221, 3081, 891, 0, 0, 0, 14, 1, 0
.	.	.	.	.	. LANE_ALIGNMENT_2s_2s_3s_7s, 146, 18, 0, 0, 0, 0, 12, 0, 0
.	.	.	.	.	.	. FIFO_BLK_3s_2s, 6, 15, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	. ram_simple_dp_3s_64s_2s_2s, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. FIFO_BLK_3s_2s_0, 6, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	.	. ram_simple_dp_3s_64s_2s_2s_0, 0, 0, 0, 0, 0, 0, 6, 0, 0
.	.	.	.	.	.	. LANE_CTRL_2s_1s, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. TIP_CTRL_BLK_Z72, 1963, 2978, 868, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	. LEVELLING_2s_8_8_8_8_8_8_8_8_8, 1131, 1736, 633, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. DELAY_CTRL_8s_1s, 10, 7, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. DELAY_CTRL_8s_1s_1, 10, 7, 8, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. IOG_IF_2s_18s_0_1, 46, 41, 9, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. APB_IOG_CTRL_SM, 17, 12, 9, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. RDLVL_2s_8_8_8_8_8_8_8_8_8, 947, 1558, 580, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. RDLVL_SMS_2s_8_8_8_8_8_8_8_8_8, 947, 1558, 580, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. RDLVL_TRAIN, 474, 779, 290, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	. dq_align_dqs_optimization_1, 213, 365, 235, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	. gate_training_1, 261, 413, 55, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. RDLVL_TRAIN_1, 473, 779, 290, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	. dq_align_dqs_optimization_1_0, 212, 366, 235, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	. gate_training_1_0, 261, 413, 55, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. TRN_COMPLETE_Z70, 9, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. VREF_TR_2s, 5, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. WRLVL_2s, 104, 89, 28, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. WRLVL_BOT, 52, 46, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. WRLVL_BOT_1, 52, 43, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. PHY_SIG_MOD_2s_2s, 274, 642, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. TRN_CLK_2s_1s_0s_1s_2s_3s_4s, 307, 434, 194, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	. flag_generator_1s, 6, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. data_transition_detector_1s_4, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. noisy_data_detector_1s, 3, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. flag_generator_1s_4, 6, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. data_transition_detector_1s_4_0, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. noisy_data_detector_1s_0, 3, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. flag_generator_1s_5, 6, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. data_transition_detector_1s_4_1, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. noisy_data_detector_1s_1, 3, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. flag_generator_1s_6, 6, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. data_transition_detector_1s_4_2, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. noisy_data_detector_1s_2, 3, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. flag_generator_1s_7, 6, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. data_transition_detector_1s_4_3, 3, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. noisy_data_detector_1s_3, 3, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. trn_bclksclk, 50, 50, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. trn_cmd_addr, 99, 112, 61, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	. trn_dqsw, 61, 121, 57, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. trn_dqsw_1, 61, 131, 57, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. ddr4_vref, 1, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. write_callibrator_Z71, 78, 147, 41, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. ddr_init_iterator, 29, 18, 23, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_A_11_0_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 12
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_A_12_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_A_13_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_A_14_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_A_15_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_BA_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 3
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_BCLK_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_CAS_N_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_CKE_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_CS_N_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_ODT_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_RAS_N_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_REF_CLK_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_RESET_N_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_IOD_WE_N_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 1
.	.	.	. DDR3_0_DDRPHY_BLK_LANECTRL_ADDR_CMD_0_PF_LANECTRL, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. DDR3_0_DDRPHY_BLK_LANECTRL_ADDR_CMD_0_PF_LANECTRL_PAUSE_SYNC_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_0_CTRL_PF_LANECTRL, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_0_IOD_DM_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_0_IOD_DQSW_TRAINING_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_0_IOD_DQS_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. DDR3_0_DDRPHY_BLK_LANE_0_IOD_DQ_PF_IOD, 0, 0, 0, 0, 0, 0, 0, 0, 8
